Movie ID,Remake Title,Remake Year,Remake IMDb ID
Mogambo-1953,Mogambo,1953,tt0046085
The Money Pit-1986,The Money Pit,1986,tt0091541
Moon Over Parador-1988,Moon Over Parador,1988,tt0095654
The Monkey's Paw-1948,The Monkey's Paw,1948,tt0179359
Mother's Day-2010,Mother's Day,2010,tt1434435
"Move Over, Darling-1963","Move Over, Darling",1963,tt0057329
Mr. Deeds-2002,Mr. Deeds,2002,tt0280590
Mrs. Winterbourne-1996,Mrs. Winterbourne,1996,tt0117104
The Mummy-1999,The Mummy,1999,tt0120616
Uppi Dada M.B.B.S.-2006,Uppi Dada M.B.B.S.,2006,
Murder on the Orient Express-2017,Murder on the Orient Express,2017,tt3402236
The Music Man-2003,The Music Man,2003,tt0293437
My Bloody Valentine 3D-2009,My Bloody Valentine 3D,2009,
My Cousin Rachel-2017,My Cousin Rachel,2017,tt4411596
My Darling Clementine-1946,My Darling Clementine,1946,tt0038762
My Fair Lady-1964,My Fair Lady,1964,tt0058385
My Father the Hero-1994,My Father the Hero,1994,tt0110612
My Man Godfrey-1957,My Man Godfrey,1957,tt0050738
Jules Verne's Mysterious Island-2012,Jules Verne's Mysterious Island,2012,
Untitled Mario remake film-2022,Untitled Mario remake film,2022,
Naa Autograph-2004,Naa Autograph,2004,
Nadja-1994,Nadja,1994,tt0110620
Naina-2005,Naina,2005,tt0443594
Never Say Never Again-1983,Never Say Never Again,1983,tt0086006
The Next Three Days-2010,The Next Three Days,2010,tt1458175
Night and the City-1992,Night and the City,1992,tt0105001
Night Must Fall-1964,Night Must Fall,1964,tt0058401
Night of the Hunter-1991,Night of the Hunter,1991,tt0102533
A Nightmare on Elm Street-2010,A Nightmare on Elm Street,2010,tt1179056
Night of the Demons-2009,Night of the Demons,2009,tt1268809
Night of the Living Dead 3D-2006,Night of the Living Dead 3D,2006,tt0489244
Nightwatch-1997,Nightwatch,1997,tt0119791
Nine Months-1995,Nine Months,1995,tt0113986
No Reservations-2007,No Reservations,2007,tt0481141
Nosferatu-1979,Nosferatu,1979,
No Way Out-1987,No Way Out,1987,tt0093640
Not of This Earth-1995,Not of This Earth,1995,tt0114004
Notorious-1992,Notorious,1992,tt0105022
All the Best-2012,All the Best,2012,tt2454836
The Nutty Professor-1996,The Nutty Professor,1996,tt0117218
Ocean's Eleven-2001,Ocean's Eleven,2001,tt0240772
Oh Jonathan – oh Jonathan!-1973,Oh Jonathan – oh Jonathan!,1973,
Of Human Bondage-1964,Of Human Bondage,1964,tt0058425
Of Mice and Men-1992,Of Mice and Men,1992,tt0105046
The Old Dark House-1963,The Old Dark House,1963,tt0057379
Oldboy-2013,Oldboy,2013,tt1321511
Oliver Twist-2007,Oliver Twist,2007,
The Omen-2006,The Omen,2006,tt0466909
On the Beach-2000,On the Beach,2000,tt0219224
One Missed Call-2007,One Missed Call,2007,
One Sunday Afternoon-1948,One Sunday Afternoon,1948,tt0040668
The Ordeal of Dr. Mudd-1980,The Ordeal of Dr. Mudd,1980,tt0081281
Orfeu-1999,Orfeu,1999,tt0183613
Original Sin-2001,Original Sin,2001,tt0218922
Orphans of the Storm-1921,Orphans of the Storm,1921,tt0012532
Oscar-1991,Oscar,1991,tt0102603
The Out-of-Towners-1999,The Out-of-Towners,1999,tt0129280
The Outrage-1964,The Outrage,1964,tt0058437
Overboard-2018,Overboard,2018,tt1563742
Oxford Blues-1984,Oxford Blues,1984,tt0087866
Pacific Rendezvous-1942,Pacific Rendezvous,1942,tt0035167
Papillon-2018,Papillon,2018,tt8296448
Paradise-1991,Paradise,1991,tt0102631
The Parent Trap-1998,The Parent Trap,1998,tt0120783
Passion-1998,Passion,1998,
Pathfinder-2006,Pathfinder,2006,
Peking Express-1951,Peking Express,1951,tt0043912
